237,107,0
131,40,0
39,18,0
1727,962,0
41,19,0
190,79,0
70,27,0
28,10,0
100,41,0
141,67,0
264,65,0
214,73,0
82,36,0
68,30,0
33,15,0
133,64,0
68,27,0
155,57,0
111,46,0
191,78,0
59,14,0
66,30,0
82,33,0
177,77,0
692,243,0
456,155,0
428,218,0
797,352,0
145,73,0
117,52,0
431,203,0
306,88,0
77,38,0
116,47,0
104,35,0
113,36,0
33,14,0
229,85,0
235,88,0
260,91,0
922,406,0
246,104,0
452,202,0
828,287,0
352,130,0
196,84,0
142,73,0
152,63,0
173,116,0
582,458,1
255,150,1
491,270,1
53,38,1
611,400,1
308,239,1
69,40,1
87,37,1
154,92,1
1376,939,1
1729,1105,1
1730,1105,1
297,151,1
1405,640,1
1375,938,1
120,71,1
91,61,1
1691,714,1
3725,1958,1
372,235,1
276,158,1
283,155,1
591,207,1
1987,1469,1
566,370,1
751,495,1
1048,597,1
56,27,1
710,411,1
2343,1256,1
2029,1317,1
1731,1106,1
318,161,1
433,219,1
443,260,1
419,358,1
555,353,1
755,506,1
43,22,1
96,51,1
143,71,1
1681,1159,1
316,220,1
643,374,1
522,324,1
42,26,1
568,301,1
111,49,1
5868,3358,1
271,165,1
203,91,0
211,95,0
410,185,0
1288,560,0
502,263,0
2043,1004,0
308,65,1
526,242,1
307,65,1
5824,3035,1
324,195,1
